VEHICLE_TYPE,FUEL_TYPE,L/KM
CAR,ELECTRIC,0
CAR,HYBRID,0.054
CAR,REG GAS,0.094
CAR,E85,0.142
CAR,HFC,0
CAR,DIESEL,0.07
CAR,BIODIESEL,0.056
MINIVAN,HYBRID,0.078
MINIVAN,REG GAS,0.114
MINIVAN,PLUGIN,0
MINIVAN,E85,0.166
MINVAN,HFC,0
TRUCK,BIODIESEL,0.089
TRUCK,DIESEL,0.112
TRUCK,E85,0.198
TRUCK,REG GAS,0.138
TRUCK,HFC,0
TRUCK,ELECTRIC,0
SUV,BIODIESEL,0.091
SUV,DIESEL,0.114
SUV,REG GAS,0.112
SUV,HYBRID,0.081
SUV,HFC,0
SUV,PLUGIN,0
SUV,ELECTRIC,0
SUV,E85,0.166
PASSENGER VAN,REG GAS,0.172
PASSENGER VAN,E85,0.221
PASSENGER VAN,PLUGIN,0
PASSENGER VAN,HFC,0
SCHOOL BUS,BIODIESEL,0.134
SCHOOL BUS,DIESEL,0.168
SCHOOL BUS,CNG,0.36
SCHOOL BUS,PLUGIN,0
CITYBUS,DIESEL,0.533
CITYBUS,BIODIESEL,0.426
CITYBUS,HYBRID,0.475
CITYBUS,CNG,0.36
MINIBUS,BIODIESEL,0.2
MINIBUS,DIESEL,0.25
MINIBUS,ELECTRIC,0
MINIBUS,HFC,0
RAIL,ELECTRIC,0
AIRPLANE,REG GAS,0.557
AIRPLANE,ELECTRIC,0
SNOWMOBILE2,REG GAS,0.094
SNOWMOBILE,REG GAS,0.118
SNOWMOBILE2,PLUGIN,0
SNOWMOBILE,PLUGIN,0
SNOWMOBILE2,HFC,0
SNOWMOBILE,HFC,0
MOTORCYCLE,REG GAS,0.053
MOTORCYCLE,PLUGIN,0
MOTORCYCLE,HFC,0
ELECTRIC BIKE,ELECTRIC,0
ATV,REG GAS,0.118
ATV,PLUGIN,0
ATV,HFC,0
FERRY,ELECTRIC,0
FERRY,HFO,40.73
